are:	parameters		p	q	r	s
-121.9663	46.9387	12.87	1.38841529197	-0.0432787767496	-121.964653561	46.9819641862
-121.9982	47.0098	15.72	1.36482543183	0.0272371583084	-121.999219939	46.9825717267
-122.001	47.015	14.38	1.36278415089	0.032386724824	-122.002211078	46.9826238094
-122.0045	47.0157	13.31	1.36038077523	0.0330256732638	-122.005732811	46.9826850311
-119.7933	46.8493	2.67	2.87567002526	-0.073490855564	-119.787527303	46.9226848757
-118.2632	46.6882	11.01	3.9317924592	-0.167834206498	-118.245257782	46.8555837178
-119.1693	46.7867	14.38	3.30558142867	-0.111382171829	-119.159260676	46.8978702872
-120.9617	46.8498	1.00	2.07741885914	-0.109915635731	-120.955457181	46.9596328514
-118.2332	46.6995	13.18	3.95148583859	-0.155056395881	-118.216537851	46.854135949
-120.4183	46.827	20.80	2.44976739152	-0.11699864651	-120.410470149	46.9438761995
-118.2678	46.7193	15.64	3.92637365553	-0.137047879493	-118.253160591	46.8559808237
-118.2282	46.6887	11.91	3.9557000387	-0.165575041069	-118.210392254	46.8538252069
-118.2317	46.7057	8.81	3.952056061	-0.148797559959	-118.215706288	46.8540939218
-118.2402	46.7012	12.77	3.94657323622	-0.15371356	-118.223702022	46.8544977739
-121.9372	46.8293	9.90	1.41115738161	-0.152121501541	-121.931330177	46.9813686318
-119.549	46.8363	16.04	3.04323471688	-0.0772464656026	-119.542581724	46.9134217631
-121.9162	46.958	9.37	1.42209754982	-0.0230868626297	-121.915300103	46.9810786944
-121.2255	46.7738	1.28	1.89981689174	-0.192558368047	-121.215510903	46.966237233
-121.222	46.7688	1.03	1.90238971403	-0.197470312105	-121.211743195	46.9661457621
-121.0293	46.8553	6.63	2.03101175453	-0.106191843952	-121.023402554	46.9614153871
-121.93	46.8658	10.72	1.41511752072	-0.115504334592	-121.925527565	46.9812639381
-121.7573	46.8443	1.24	1.53376496926	-0.133746254623	-121.751689709	46.9779913314
-120.7895	46.8958	4.83	2.19321117917	-0.0592597203474	-120.785944004	46.955009936
-121.2273	46.7855	1.56	1.89817094067	-0.180909320802	-121.217921283	46.9662956862
-120.424	46.8297	7.58	2.44574832499	-0.114479500969	-120.416350887	46.9440600768
-119.0755	46.7223	9.53	3.37372678602	-0.171661197536	-119.059729002	46.8936214762
-121.7842	46.8538	1.05	1.5151045866	-0.124773476548	-121.779028789	46.9785234678
-120.7617	46.9567	2.47	2.2096756229	0.00236973027493	-120.761843428	46.9543322928
-120.7528	46.9617	0.03	2.21553799105	0.00761674895666	-120.753262269	46.9540897888
-120.8047	46.7785	4.91	2.18761507297	-0.176886632699	-120.794135697	46.9552391089
-121.9398	46.8637	9.58	1.40847469444	-0.117780192274	-121.935261009	46.9814393871
-121.9605	47.021	5.19	1.39023199666	0.0390962684456	-121.961991564	46.9819169669
-119.3652	46.7453	2.58	3.17413631344	-0.160803945626	-119.351290474	46.905822061
-121.9058	46.9667	6.57	1.42896087196	-0.0142007336948	-121.905243714	46.98089566
-119.0982	46.9467	0.03	3.34417219343	0.0513254488029	-119.10289388	46.8954747755
-120.5883	46.8453	3.66	2.33277186328	-0.103904329117	-120.581675449	46.9491056808
-119.7357	46.85	3.16	2.91496824843	-0.07066403768	-119.730073711	46.9205593332
-119.9305	46.7738	0.51	2.78588553484	-0.153841176315	-119.918808187	46.9274332342
-120.6473	46.9183	10.85	2.28933281141	-0.0327123052932	-120.645250342	46.9509823517
-121.9222	46.8797	10.59	1.42008001912	-0.101468077318	-121.918256275	46.9811323314
-119.5733	46.8592	1.40	3.02534541079	-0.055323910086	-119.568728192	46.9144356056
-121.9697	46.9423	6.68	1.38600134102	-0.0397401855349	-121.968190703	46.9820268336
-119.3613	46.7445	2.56	3.17685141324	-0.161444545795	-119.347323378	46.905661059
-121.751	46.8542	0.26	1.53778817353	-0.123726834295	-121.745795437	46.9778757493
-121.9092	46.7913	5.52	1.43132152886	-0.189600244717	-121.901784809	46.9808325013
-121.919	46.7837	6.36	1.4248160601	-0.197376173572	-121.911316834	46.9810063011
-121.9832	47.028	7.17	1.37458173338	0.0456934031658	-121.98492387	46.9823217213
-121.8963	47.1632	18.51	1.43016617248	0.182402095028	-121.90347767	46.9808634256
-121.934	46.9185	13.18	1.41099414841	-0.0628948312962	-121.931569355	46.9813729409
-118.6515	46.7538	12.53	3.66162327164	-0.121202389072	-118.639413006	46.8747197854
-120.6897	46.892	13.11	2.26150873091	-0.0602197127457	-120.685974389	46.9521659289
-121.7607	46.854	0.74	1.53116317908	-0.124116722104	-121.755501525	46.9780659167
-119.5453	46.845	1.99	3.04526754726	-0.0684167932971	-119.539610663	46.9133061797
-121.8055	47.1298	6.46	1.49281468215	0.150708365307	-121.811686141	46.9791505783
-119.5575	46.7262	0.03	3.04366650244	-0.187499373984	-119.541950652	46.9133972189
-121.921	46.7855	5.58	1.42339926812	-0.195613160222	-121.913392772	46.9810440472
-121.9043	47.094	6.93	1.42657954173	0.113081097711	-121.908732917	46.9809592662
-121.7323	46.853	0.87	1.55060574791	-0.124557785748	-121.727016977	46.9775054984
-119.6912	46.7935	0.88	2.94846136071	-0.125415008092	-119.681110749	46.91872509
-119.9312	46.9073	0.03	2.77847907112	-0.0205459261497	-119.929638786	46.9278182333
-120.393	46.9682	0.04	2.4605627748	0.0248454943117	-120.394674436	46.9433808068
-121.8732	47.1085	18.71	1.44735114969	0.128146216287	-121.878297951	46.9804008791
-122.0023	46.8957	8.63	1.36493958998	-0.086897102468	-121.99905266	46.9825688116
-120.6657	46.942	7.14	2.27576818045	-0.00956982920004	-120.665103663	46.951561166
-122.2063	46.9827	3.33	1.22358963116	-0.00329242683682	-122.206189515	46.985991564
-121.9337	46.9153	13.84	1.41128337161	-0.0660883154802	-121.931145569	46.9813653056
-120.812	46.7793	5.36	2.18258746674	-0.17629085691	-120.801495268	46.9554445022
-121.7568	46.8458	2.22	1.53406388235	-0.132237080525	-121.75125178	46.9779827543
-121.2492	47.1647	12.95	1.86987489956	0.197528597939	-121.259359671	46.9672926637
-121.9672	46.8882	10.74	1.38911108409	-0.0937777256822	-121.963634024	46.9819461087
